id,feature
faem0_si1392_0,146.14039
faem0_si1392_1,159.58808
faem0_si1392_2,168.667
faem0_si1392_3,181.66248
faem0_si1392_4,202.92767
faem0_si1392_5,224.04199
faem0_si1392_6,222.65957
faem0_si1392_7,225.992
faem0_si1392_8,233.15758
faem0_si1392_9,240.53344
faem0_si1392_10,219.58029
faem0_si1392_11,202.48885
faem0_si1392_12,200.61135
faem0_si1392_13,190.61337
faem0_si1392_14,195.15203
faem0_si1392_15,190.52584
faem0_si1392_16,204.54169
faem0_si1392_17,188.34217
faem0_si1392_18,149.91973
faem0_si1392_19,131.1956
faem0_si1392_20,133.90906
faem0_si1392_21,142.65334
faem0_si1392_22,157.92113
faem0_si1392_23,-0.200895777
faem0_si1392_24,-0.529999692
faem0_si1392_25,-0.602686131
faem0_si1392_26,-0.46124479
faem0_si1392_27,-1.19627117
faem0_si1392_28,-1.62782198
faem0_si1392_29,-2.261742
faem0_si1392_30,-1.68932317
faem0_si1392_31,-1.14759112
faem0_si1392_32,0.037847107
faem0_si1392_33,-0.14587908
faem0_si1392_34,0.51821669
faem0_si1392_35,-0.30092763
faem0_si1392_36,-2.98771513
faem0_si1392_37,-4.60654157
faem0_si1392_38,-4.0624628
faem0_si1392_39,-3.58649851
faem0_si1392_40,-3.589337368
faem0_si1392_41,-1.234477289
faem0_si1392_42,0.18353271
faem0_si1392_43,-0.87880078
faem0_si1392_44,-0.700299746
faem0_si1392_45,-2.03757787
faem0_si1392_46,-0.323622058
faem0_si1392_47,-0.201269661
faem0_si1392_48,-0.1474258497
faem0_si1392_49,0.070807827
faem0_si1392_50,-0.0765506037675
faem0_si1392_51,-0.51204202
faem0_si1392_52,-0.635403241581
faem0_si1392_53,-0.7850827099
faem0_si1392_54,-0.8716779216
faem0_si1392_55,-1.278568078
faem0_si1392_56,-1.296015674
faem0_si1392_57,-0.793806602
faem0_si1392_58,-0.770523831
faem0_si1392_59,-0.88211994
faem0_si1392_60,-1.24500345
faem0_si1392_61,-1.170748351
faem0_si1392_62,-1.195089097
faem0_si1392_63,-0.79170972
faem0_si1392_64,-0.241193628
faem0_si1392_65,0.07319648
faem0_si1392_66,0.31689919
faem0_si1392_67,0.16992813
faem0_si1392_68,0.008381187
faem0_si1392_69,439.994749
faem0_si1392_70,500.01009
faem0_si1392_71,536.221711
faem0_si1392_72,592.766373
faem0_si1392_73,649.988753
faem0_si1392_74,664.207205
faem0_si1392_75,634.783008
faem0_si1392_76,610.346828
faem0_si1392_77,586.530981
faem0_si1392_78,572.143012
faem0_si1392_79,592.686861
faem0_si1392_80,647.105
faem0_si1392_81,664.923784
faem0_si1392_82,655.947179
faem0_si1392_83,682.582326
faem0_si1392_84,661.131463
faem0_si1392_85,626.586098
faem0_si1392_86,638.632797
faem0_si1392_87,573.98999
faem0_si1392_88,486.02216
faem0_si1392_89,444.13313
faem0_si1392_90,547.90061
faem0_si1392_91,576.59842
faem0_si1392_92,5.2122440542
faem0_si1392_93,7.08927948633
faem0_si1392_94,4.758949205
faem0_si1392_95,4.75125831642
faem0_si1392_96,3.22461521
faem0_si1392_97,1.53118745
faem0_si1392_98,0.199676766
faem0_si1392_99,2.25796931158
faem0_si1392_100,3.64979706
faem0_si1392_101,3.52343512
faem0_si1392_102,2.20364975
faem0_si1392_103,-1.365315236
faem0_si1392_104,-1.15698045
faem0_si1392_105,0.5306445
faem0_si1392_106,-1.655165519
faem0_si1392_107,-0.743437146326
